name,description,category,muscle_group,muscle,equipment,tutorial_link
30 Decline Press Sit-Up,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.,Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Other,
Kneeling cable oblique crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
Kneeling cable crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
Rope Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
Standing cable crunch,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
Cable reverse crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Strength,Abdominals,Rectus Abdominis,Cable,
Exercise Ball Cable Crunch - Gethin Variation,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",Strength,Abdominals,Rectus Abdominis,Cable,
Standing Cable Crunch - Gethin Variation,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
AM Cable Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
30 Cable Rope Crunch,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
30 Cable Rope Oblique Crunch,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps like 8-12 reps per set or higher.",Strength,Abdominals,Rectus Abdominis,Cable,
30 Cable Reverse Crunch On Ball,"The cable reverse crunch on a BOSU is performed on top of a BOSU ball between two cable pulleys, which helps target the lower abdominals specifically and is more proprioceptively challenging than a cable reverse crunch on the floor.",Strength,Abdominals,Rectus Abdominis,Cable,
30 Cable Reverse Crunch,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically.",Strength,Abdominals,Rectus Abdominis,Cable,
Single-Arm Cable Outward-Facing Biceps Curl,The single-arm cable outward-facing biceps curl is a cable exercise that targets the biceps. It is performed standing in front of a cable machine facing away from the cable stack to increase the range of motion by fully extending the elbows. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.,Strength,Abdominals,"Biceps Brachii, Brachialis",Cable,
Ab Crunch Machine,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines, the knees also curl up torward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, like 8-12 reps per set or higher, as part of the ab-focused portion of a workout.",Strength,Abdominals,Rectus Abdominis,Machine,
Machine crunch,"The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down against a pre-set level of resistance. On some machines, the knees also curl up toward the torso. Crunch machines usually use extra resistance in the form of selectorized weight stacks or plate loading, and are often performed for moderate to high reps, such as 8-12 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Rectus Abdominis,Machine,
Elbow plank,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Cross-Body Crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Elbow-to-knee crunch,"The elbow-to-knee crunch is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Decline Crunch,The decline crunch is an effective core exercise targeting the rectus abdominis.,Strength,Abdominals,Rectus Abdominis,Body Only,
Hanging leg raise,"The hanging leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Instead of resting your forearms on the pads of a captain's chair, you perform these hanging from a bar. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
3/4 sit-up,"The 3/4 sit-up is a bodyweight exercise focused on the muscles of the core. It is similar to a sit-up, but stops short of the top position. This keeps constant tension on the abs, making it more difficult than traditional sit-ups. It can be performed for time or for reps, with the feet anchored or free, as part of the ab-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Reverse crunch,"The reverse crunch is a popular exercise targeting the abdominals, particularly the lower half. Itâ€™s easy to perform on either the floor or a flat bench. Many lifters think of this as a companion to the crunch, which targets the upper abdominals more than the lower.",Strength,Abdominals,Rectus Abdominis,Body Only,
Crunches,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Flat Bench Lying Leg Raise,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or â€œsix-packâ€ muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Knees tucked crunch,"The knees tucked crunch is a core exercise that involves performing a crunch while keeping the knees bent in a 90-degree position. It primarily targets the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps as part of any abs-focused circuit or workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Feet-elevated oblique crunch,"The feet-elevated oblique crunch is a variation on the crunch exercise that targets the obliques as well as the rectus abdominis or ""six-pack"" muscles. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs.",Strength,Abdominals,Rectus Abdominis,Body Only,
Bent-knee reverse crunch,"The bent-knee reverse crunch is a popular bodyweight core exercise. It targets the lower portion of the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps as part of any ab-focused workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Lying bench reverse crunch,"The lying bench reverse crunch is a popular ab exercise performed by bringing the knees toward the chest while lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Abdominals,Rectus Abdominis,Body Only,
Sit-up,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Lying oblique crunch,The lying oblique crunch is a bodyweight exercise targeting the oblique muscles. It can be performed for a specific number of reps or to fatigue or failure as part of the ab-focused portion of any workout.,Strength,Abdominals,Rectus Abdominis,Body Only,
Partner lying leg raise with lateral throw down,The partner lying leg raise with lateral throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down at a lateral angle. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.,Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Hanging leg raise with throw down,"The hanging leg raise with throw down is a more advanced version of the hanging knee raise that utilizes a partner to make the movement more difficult. The partner pushes down at the top of each rep, forcing the lifter to ""fight back"" with their abs.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Partner sit-up with high-five,The partner sit-up with high-five is a full-body exercise targeting the core. Partners each perform a sit-up and high-five each other mid rep.,Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Partner lying leg raise with throw down,The partner lying leg raise with throw down is a core exercise in which one partner performs a leg raise while the other partner pushes their legs back down. The partner performing the exercise has to use core strength and stability to keep their legs from falling to the ground.,Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Partner target sit-up,"The partner target sit-up is a core exercise where one partner performs sit-ups, while the other uses his or her hands to create a target for them to reach for. This increases the challenge of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Jump Lunge,"The alternating lunge jump is an explosive bodyweight exercise that targets the lower-body muscles, including the quads, glutes, and hamstrings. It can be performed for time or reps in power training, and is also effective in any fat-loss or athleticism-focused workout.",Strength,Abdominals,"Quadriceps, Gluteus Maximus, Hamstrings",Body Only,
Side plank hip dip,"The side plank hip dip is a dynamic version of the side plank exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It can be performed for time or reps and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Elbow plank jack,"The elbow plank jack is an isometric abdominal exercise with a dynamic lower-body component. It targets the muscles of the core, the deep core or transversus abdominis in particular. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Side lunge cross-body heel-touch,"The side lunge cross-body heel-touch is a lower-body exercise targeting the quads, glutes, and hamstrings. The heel-touch adds a slight rotational challenge.",Strength,Abdominals,"Quadriceps, Gluteus Maximus, Hamstrings",Body Only,
Double crunch,"The double crunch is a bodyweight exercise focused on the muscles of the core, the rectus abdominis or ""six-pack"" muscles in particular. It's a very simple exercise that involves ""crunching"" the knees and elbows toward each other using the abdominal muscles, while keeping the back flat against the ground.",Strength,Abdominals,Rectus Abdominis,Body Only,
Spider plank jack,"The spider plank jack is a bodyweight core exercise that begins in a straight-arm plank, then combines a spider crunch and a plank jack into a single sequence. It can be performed as bodyweight core training or for conditioning in a fat-loss or athleticism-focused circuit.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Plank leg raise,"The plank leg raise is an isometric abdominal exercise that targets the muscles of the core, the deep core or transversus abdominis in particular. It also targets the muscles of the glutes and hips. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Reach crunch,The reach crunch is a bodyweight core exercise that involves keeping the arms raised toward the ceiling while performing a crunch. It can be performed for time or reps as part of any abs-focused circuit or workout.,Strength,Abdominals,Rectus Abdominis,Body Only,
FYR Push-Up Plank Hold,"The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Side plank lateral raise,"The side plank lateral raise is an exercise that combines an isometric side plank hold with a dumbbell raise to target both the core and the shoulders. You probably won't be able to use much weight without disrupting your balance, but even at light weight, this is a movement that can help address multiple muscle groups in a time-efficient workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Tip-toe crunch,The tip-toe crunch is a variation on the crunch exercise that involves placing the toes on or near the ground. This can help isolate the abs from the hip flexors. The tip-toe crunch can be performed for time or for reps as part of the core-focused component of any workout.,Strength,Abdominals,Rectus Abdominis,Body Only,
Plank walk-out,"The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position, the lifter descends into a plank-type position but â€œwalksâ€ the hands forward until they are out in front of the head. This is far more challenging to the core than having the arms directly under the shoulders. Beginners will need to progress to this exercise.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Long sit-up,"The long sit-up is an advanced version of the sit-up exercise that is performed with the hands reaching over the head. This lengthens the torso, making it harder for the abs to contract and lift the upper body. Long sit-ups can be performed for time or for reps, with the feet anchored or free.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Bear crawl push-up,"The bear crawl push-up is a variation of the bear crawl hold with a push-up added. It adds an extra coordination and shoulder challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, or as part of a bodyweight circuit or flow.",Strength,Abdominals,"Pectorals, Triceps Brachii, Anterior Deltoid",Body Only,
Plank reach,"The plank reach is an exercise targeting the entire core, particularly the oblique muscles. It resembles a plank exercise, but the primary difference is that the lifter extends their arms forward, one at time. The core, especially the obliques, must work hard to maintain stability. It can be performed for time, with holds in the reaching position, or for reps.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Eiffel Tower leg raise,"The Eiffel Tower leg raise is a bodyweight exercise targeting the muscles of the abs, the rectus abdominis or â€œsix-packâ€ muscles in particular. It is similar to a V-up, but with the added challenge of â€œdrawingâ€ a pyramid shape in the air with the legs during each rep. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Straight-arm plank,"The straight-arm plank is an exercise targeting the core muscles. It is basically the top of a push-up position, with elbows fully extended and palms on the floor. The position is held for time to target the muscles of the core, as well as the shoulders.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Plank up-down,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
FYR Sit-Up,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Cross-Body Crunch - Gethin Variation,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Hanging Leg Raise - Variation Gethin,"The hanging leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of apparatus, hang from a bar. It can be performed for time or reps in the ab-focused portion of any workout.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Butterfly crunch,"The butterfly crunch is a popular bodyweight exercise that targets the rectus abdominis, or ""six-pack"" muscles. It gets its name from the position of the elbows and knees, both of which are bent out like wings. It can be performed for time or reps as part of any abs-focused circuit or workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Flat Bench Lying Leg Raise - Gethin Variation,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or â€œsix-packâ€ muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Hanging alternating single-leg raise,"The hanging alternating single-leg raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one and alternate with each rep. Leg raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training. However, this difficult variation may require some time to build up to those rep ranges.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Sit-Up - Gethin Variation,"The sit-up is a popular bodyweight exercise focused on the abdominal muscles. It has also been used as part of military, tactical, and scholastic fitness tests for many years. It can be performed for time or reps, with the feet anchored or free, on flat ground or a bench.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
Plank Push-Up,"The plank up-down is a variation of the plank push-up that ends in an elbow plank rather than with the chest on the ground. It involves transitioning between the two positions one arm at a time, rather than two. It puts more stress on the triceps and core than traditional planks. It can be performed for time or reps in any bodyweight workout or during the core-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Decline crunch-,"The decline crunch is a popular bodyweight exercise targeting the rectus abdominis or ""six-pack"" muscles, particular the upper abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Alternating lying leg raise,"The alternating lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or â€œsix-packâ€ muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
Crunch - Gethin Variation,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,Rectus Abdominis,Body Only,
Plank - Gethin Variation,"The elbow plank is a popular isometric abdominal exercise. It is common in all types of exercise programs, as well as in group fitness and yoga classes. It targets the muscles of the core, the deep core or transversus abdominis in particular. It is also often prescribed for time to help back pain or to teach proper bracing.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Hanging crunch,"The hanging crunch an abdominal exercise that targets the rectus abdominis or ""six-pack"" muscles. It can be performed hanging from a bar, on a dip station or parallel bars, or if grip strength is a limitation, by placing the elbows in ab straps. If hanging from a straight bar is uncomfortable to the wrists or shoulders, you can also perform them hanging with a neutral grip (palms facing one another). It is similar to a hanging knee raise, but with more spinal curling and a more pronounced ""crunch"" at the top.",Strength,Abdominals,Rectus Abdominis,Body Only,
Side plank,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the â€œMcGill big threeâ€ for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Single-leg curl up,"The single-leg curl up is a bodyweight abdominal movement that teaches and reinforces abdominal â€œbracingâ€ for strength training. It is usually performed along with variations of the bird dog and side plank as the â€œMcGill big three.â€ The curl up can be performed for time or for reps, with or without pauses at the top position, as part of a warm-up or the core-focused component of any workout.",Strength,Abdominals,"Biceps Brachii, Brachialis",Body Only,
Feet-elevated bench side plank,"The feet-elevated bench side plank is an advanced version of the side plank performed with the feet elevated on a bench. It targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but the body angle makes it more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank first.",Strength,Abdominals,"Rectus Abdominis, Transverse Abdominis",Body Only,
Cross-body sit-up,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
30 Decline Reverse Crunch,The decline reverse crunch is a core exercise targeting the lower abdominals.,Strength,Abdominals,Rectus Abdominis,Body Only,
Decline sit-up twist,"The decline sit-up twist is a bodyweight core exercise that targets the obliques, as well as the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",Strength,Abdominals,"Rectus Abdominis, Iliopsoas",Body Only,
30 Flat Bench Leg Raise,"The lying leg lift is a popular bodyweight exercise targeting the muscles of the abs, the rectus abdominis or â€œsix-packâ€ muscles in particular. It can be performed for time or reps in the core-focused portion of any workout.",Strength,Abdominals,"Lower Rectus Abdominis, Hip Flexors",Body Only,
